grapheme_count,row_number,word_count,text_preview,src
1115,105562,236,"මේ ආරෝව ඇරඹෙන්නේ SLIIT walk එකේදී එහි කොල්ලන් කෙල්ලන් උස්සන් ගිය බෝඩ් කිහිපයක ලියවී තිබූ දේවල් නිසාය.ඉන් සමහරක් රජයේ වි.වි තුල ඇති අරගල සම්බන්ධ විවේචන වූ අතර අනෙක්වා ආතල් ප්‍රකාශයන්ය.මේ ආතල් ප්‍රකාශයන් අතර ගෑවී නොගෑවී යන කුණුහරුප වූ අතර මේවා අල්ලන් රජයේ කැම්පස් උන්, Private campus උන්ට ප්‍රහාරය ඇරඹු",CulturaX
1109,100479,236,බයියෝ ටොයියෝ මොකා මේ රට පාලනය කලත් උඹ ඔය කියනවටත් වඩා ප්‍රශ්න මේ රටේ තියනවා.ඒවා දවසින් දවස උග්‍ර වෙනවා.ඒකට බයිද ටොයිද ප්‍රශ්නයක් නෑ.ඤාණසාර වගේ මෝඩ විදියට හැසුරුනාට ඔය ප්‍රශ්න විසදෙන්නෙත් නෑ.රටේ තිබුන කුරිරු යුද්ධය ඉවර කලේ මහින්ද රාජපක්ෂගේ?ගෝඨාගේ නායකත්වයෙන් වගේම සරත් ෆොන්සේකාගේ හමුදා නායකත්වයෙන්.තමන,CulturaX
1054,50667,212,කටුස්සා බ්ලොගක් ලියනවග කටුස්සාගේ සැබෑ ලෝකයේ සමීපතමයන් කිසිවෙක් දන්නේ නෑ.ඒ නිසාම කාටවත් කියන්න තරම් විශේෂත්වයකුත් නැති මේ බ්ලොග් කෙරුවාවේ මේ තුලින්ම හමුවූ මිත්‍රයන් මිසක සැබෑලොව මිත්‍රයන් කිසිවකුගෙන් හොඳක් හෝ නරකක් කිසිදිනක අසාත් නෑ.පාසල්සමය කියන්නේ කටුස්සාගේ අපල කාලයක්.10 වසර අග භාගයේ සිට මනමාල විසේ,CulturaX
1042,105564,238,ඉතින් අපි එසේ අරගල කල නිසා රජයේ campus උන් හෙන උතුම් පොරවල් වන්නේත් private campus වල උබලා අරගල නොකලා කියලා පජාත ඩයල් වන්නේවත් නැත.එකිනෙකාට ඒ ඒ පරිසර අවකාශයන් තුලදී මූන දෙන්නට වන සිදුවීම් මත ඒ ඒ පන්නරයන් ලැබෙන අතර විවිධ ක්‍රියාමාර්ග තෝරන්නට සිදුවේ.ඒවා එක් රාමුවක් තුලදී වීරකම් වන අතර අනෙක් රාමුව තුලි,CulturaX
1033,194494,40,එක්සත් එමිරේට්ස්ඇෆ්ගනිස්තාන්ඇල්බේනියාවආර්මේනියාවඇන්ගෝලාආර්ජන්ටිනාඕස්ට්‍රේලියාවඕස්ට්‍රේලියාවඅසර්බයිජන්බංගලාදේශයබහරේන්බෙල්ජියම්විශ්වාස කරන්නභූතානයබුර්කිනා ෆාසෝබල්ගේරියාවබහරින්බුරුන්ඩිබෙනින්බෲනායි දරුස්සලාම්බොලිවියාවබ්රසීලයබොට්ස්වානාබයිලෝරූෂියාකැනඩාවකැරිබියන් දූපතකේප් වර්ඩ්මධ්‍යම අප්‍රිකාවකොංගෝස්විට්සර,CulturaX
999,38883,203,රීගල් සිනමාහලට චිත්‍රපට නරඹන්නට ගොඩ වදින විට එයින් එළියට බසින විට පෙනෙන්නේ කොළඹ කොටුවේ ඇති දීර්ඝතම ගොඩනැගිල්ල වන ලේක් හවුස් මන්දිරයයි.සරසවිය දොරට වඩින්නේ එහි සිටය.රීගල් සිනමාහල යනු අපේ සිනමාවේ මහ ගෙදරය.එයට යාබද ව ඇත්තේ සිලෝන් තියටර්ස් ගොඩනැගිල්ලයි.ලේක් හවුස් මන්දිරයේ සිට එළියට බසින්නෙක්ට මුණ ගැසෙන්න,CulturaX
997,36808,209,තවත් අවස්ථාවලදී මේ පිරිස් තමන්ගේම ප‍්‍රකාශවලට පරස්පරව කතාකරමින්ල ඉන්දියානු ධීවරයන් අත් අඩංගුවට ගනු ලබන්නේ ශී‍්‍ර ලංකාවට අයත් මුහුදේ දී බව පිළිගෙන ඔවුන්ගේ ලිහිල්ව සලකන ලෙසට බලකර සිටිතිග මෙවැනි අවස්ථාවලදී ඉන්දියානු පාර්ශවයන් නිදහසට කරුණක් ලෙස පවසන්නේ ඔවුන්ගේ යාත‍්‍රා බැරිවීමකින් ශී‍්‍ර ලංකාවේ ජාත්‍යන්,CulturaX
985,139227,195,සෞඛ්‍ය අමාත්‍යවරයාට එරෙහිව මෙම විශ්වාසභංගය ඉදිරිපත් වීමට නියමිතව තිබෙන්නේ ජනතා විමුක්ති පෙරමුණේ නායක අනුර කුමාර දිසානායක මහතා ඔහුව දැඩි ලෙසම විවේචනය කර ඇති පසුබිමක දී වීම විශේෂය.පසුගියදා පාර්ලිමෙන්තුවේ දී රටේ ඇතිව තිබෙන නියගය පිළිබද කල්තැබීමේ විවාදයට සහභාගීවෙමින් ජනතා විමුක්ති පෙරමුණේ නායකයා විමසා ස,CulturaX
984,106732,238,"මම මෙහි එක් එක් අදහස් පරෙස්සමින් කියවා ඇත්තෙමි ... එක් එක් සංස්කෘතියේ මූලයන් අපූරු යැයි මම සිතමි, මෙහි අපට බොහෝ සිරිත් විරිත් ඇත, ඉන්දියානු ඒවා තරම් ශක්තිමත් සාරධර්ම ඇත, ගෝලීයකරණය වූ ලෝකය සෑම දෙයක්ම පාහේ මකා දමයි; මෙම සිරිත් විරිත් කට වචනයෙන් සම්මත කර ගැනීම අප සෑම කෙනෙකුගේම යුතුකමකි .. මම විධිමත් වි",CulturaX
974,105563,218,"අනෙක් අතින් පෞද්ගලික අධ්‍යාපන ආයතන වල සිසු පරපුරද කැම්පස් වල පවතින්නාවූ අරගල විහිලුවකට,අපහාසයකට ගෙන නින්දා කිරීමේ ව්‍යාපාරයකට අතගසා ඇත.උන්ට කියන්නට ඇත්තේ නොදන්න මගුල් කථා නොකර ඉන්නවානම් හොදයි කියලාය.මේ රටේ බිහිවූ හැම රජයක්ම පුලුවන් තරම් උත්සහ කලේ නිදහස් අධ්‍යාපනය කප්පාදු කර දමන්නටය.ඒ කාලේ ඉදන් රටේ ව",CulturaX
